,minority_size,tp,fp,tn,fn,tpr,tnr,roc_auc,geometric_mean,arithmetic_mean,f1_score,precision,layers,method
0,0.5,1317,5901,648144,12,0.9909709999999999,0.990978,0.998893,0.990974,0.990974,0.308178,0.18246099999999998,2,rus
1,0.5,1317,6013,648032,12,0.9909709999999999,0.990806,0.9990049999999999,0.9908889999999999,0.9908889999999999,0.304192,0.179673,2,rus
2,0.5,1317,7107,646938,12,0.9909709999999999,0.9891340000000001,0.998868,0.990052,0.990052,0.270071,0.156339,2,rus
3,0.5,1317,6780,647265,12,0.9909709999999999,0.989634,0.998906,0.990302,0.990302,0.27944,0.162653,2,rus
4,0.5,1317,8598,645447,12,0.9909709999999999,0.9868540000000001,0.998819,0.9889100000000001,0.9889120000000001,0.234258,0.132829,2,rus
5,0.5,1317,7427,646618,12,0.9909709999999999,0.9886450000000001,0.9988379999999999,0.989807,0.989808,0.261491,0.150618,2,rus
6,0.5,1317,7242,646803,12,0.9909709999999999,0.988927,0.9988049999999999,0.9899479999999999,0.989949,0.266383,0.153873,2,rus
7,0.5,1317,6362,647683,12,0.9909709999999999,0.990273,0.9985930000000001,0.9906219999999999,0.9906219999999999,0.29240700000000003,0.171507,2,rus
8,0.5,1317,6469,647576,12,0.9909709999999999,0.990109,0.9989450000000001,0.99054,0.99054,0.28897399999999995,0.16915,2,rus
9,0.5,1317,7106,646939,12,0.9909709999999999,0.989135,0.9989110000000001,0.9900530000000001,0.9900530000000001,0.270098,0.156358,2,rus
10,0.5,1317,6926,647119,12,0.9909709999999999,0.989411,0.9985940000000001,0.99019,0.9901909999999999,0.27517800000000003,0.159772,2,rus
11,0.5,1318,7666,646379,11,0.9917229999999999,0.9882790000000001,0.9985229999999999,0.99,0.990001,0.2556,0.146705,2,rus
12,0.5,1317,6889,647156,12,0.9909709999999999,0.989467,0.9991540000000001,0.9902190000000001,0.9902190000000001,0.27624499999999996,0.160492,2,rus
13,0.5,1317,6317,647728,12,0.9909709999999999,0.9903420000000001,0.9988469999999999,0.990656,0.990656,0.293875,0.172518,2,rus
14,0.5,1317,19087,634958,12,0.9909709999999999,0.970817,0.998727,0.980842,0.980894,0.121198,0.064546,2,rus
15,0.5,1317,6318,647727,12,0.9909709999999999,0.99034,0.9988889999999999,0.990655,0.990655,0.293842,0.172495,2,rus
16,0.5,1317,8209,645836,12,0.9909709999999999,0.987449,0.9984290000000001,0.989208,0.98921,0.242653,0.138253,2,rus
17,0.5,1317,12919,641126,12,0.9909709999999999,0.980248,0.998661,0.9855950000000001,0.9856090000000001,0.169226,0.092512,2,rus
18,0.5,1317,7271,646774,12,0.9909709999999999,0.988883,0.9989110000000001,0.989926,0.989927,0.26560500000000004,0.153354,2,rus
